review,sentiment
I absolutely loved this movie! The story was gripping and the visuals were stunning.,1
Terrible film. I wasted two hours of my life.,0
"It was okay, not great but not terrible either.",0
What an amazing experience! I'd watch it again.,1
The plot was boring and the acting was subpar.,0
Fantastic! A masterpiece of modern cinema.,1
I didn't enjoy it. The pacing was all over the place.,0
Pretty good overall. Some scenes were a bit slow though.,1
Awful. I can't believe it got good reviews.,0
A solid film with great performances and a satisfying ending.,1
